12,54
80,15
22,39
65,100
34,97
8,57
4,63
73,82
81,62
5,89
62,0
32,75
84,20
48,47
74,18
71,60
74,51
43,95
87,98
4,59
67,22
63,70
34,83
23,53
77,46
82,77
42,64
56,11
63,82
45,56
7,51
88,98
81,1
92,89
76,80
88,83
36,89
65,88
71,17
6,5
89,57
67,69
3,78
27,31
33,24
56,2
41,5
24,64
12,4
20,75
63,15
36,32
49,83
15,51
72,57
3,74
52,26
40,74
55,91
85,47
21,10
44,61
2,11
17,53
38,14
60,10
86,79
85,54
8,98
75,95
27,14
38,70
19,51
50,29
15,25
99,39
49,29
82,4
46,2
45,49
71,10
10,48
31,81
70,29
27,26
17,16
27,73
50,42
9,33
42,46
88,4
45,19
22,53
47,19
3,25
44,18
98,16
55,22
19,85
18,1
10,16
93,0
73,51
49,73
15,92
80,1
57,85
59,0
86,70
99,50
7,56
54,1
31,15
49,12
83,68
27,20
18,10
11,14
57,8
13,60
53,1
42,72
36,10
42,28
81,10
62,93
58,26
88,33
75,32
46,38
71,74
91,30
8,15
78,89
92,5
40,29
68,95
74,23
94,75
80,77
100,87
90,8
85,45
97,60
99,41
27,79
90,39
26,40
84,38
86,41
99,18
62,26
37,98
44,82
60,55
53,16
48,65
7,76
69,63
51,65
15,62
57,39
34,33
41,35
14,84
80,87
90,60
67,77
27,87
88,88
21,32
79,99
9,27
40,79
77,75
96,80
4,18
85,7
91,22
64,67
0,50
63,77
9,22
94,80
68,89
100,81
68,29
37,39
17,75
100,79
26,3
25,24
15,100
52,6
97,51
21,90
79,48
98,26
69,79
8,0
80,34
100,80
62,77
81,7
25,20
62,62
4,42
61,68
95,70
64,71
73,29
78,6
54,26
69,94
59,2
62,83
24,41
53,43
52,70
42,45
24,75
38,92
81,87
26,82
12,3
55,53
57,32
35,71
96,62
86,81
82,7
83,44
16,61
7,6
73,42
17,15
69,90
64,85
71,0
53,99
64,44
31,78
95,31
24,24
31,24
50,93
52,30
74,19
24,65
22,82
58,99
44,37
48,99
6,20
45,41
75,87
69,58
1,59
30,3
27,23
7,70
88,34
94,59
24,28
78,35
95,0
40,22
41,87
18,72
20,70
71,20
63,1
85,41
11,61
70,6
51,78
55,49
76,30
91,16
20,65
23,45
35,75
23,52
51,54
86,22
64,10
18,70
15,59
44,53
39,41
56,85
43,51
79,67
40,17
89,47
39,51
51,18
82,13
88,23
21,30
95,40
52,75
11,34
29,79
93,69
73,38
51,27
89,44
31,32
55,28
21,19
74,93
42,85
